TOKEN_ID,TOKEN_NAME,background,body,brain,eyes,lips,blood,NUM_TRAITS,RARITY_SCORE,Rank
4103,#4103,57.64622641509435,42.19958563535912,6.992218789335164,12.399553571428571,50.25082236842105,15.813923395445133,11.0,196.3023301750834,1
2017,#2017,57.64622641509435,8.524693080357142,24.16172400158165,15.962643678160918,50.25082236842105,8.432928512282638,11.0,175.97903805589775,2
2605,#2605,10.218227424749164,7.165220450281425,24.16172400158165,63.125,50.25082236842105,8.432928512282638,11.0,174.35392275731593,3
4696,#4696,8.257432432432433,42.19958563535912,14.414956357631516,29.391534391534393,50.25082236842105,15.813923395445133,11.0,171.32825458082363,4
4854,#4854,57.64622641509435,6.7474602473498235,14.414956357631516,63.125,8.230738146551724,8.432928512282638,11.0,169.59730967891005,5
3656,#3656,57.64622641509435,22.800373134328357,18.399578440228847,29.391534391534393,12.521516393442623,15.813923395445133,11.0,167.57315217007368,6
1305,#1305,57.64622641509435,42.19958563535912,8.94524959742351,29.391534391534393,8.230738146551724,8.432928512282638,11.0,165.84626269824574,7
5296,#5296,15.27625,8.524693080357142,6.399099382134254,63.125,50.25082236842105,8.432928512282638,11.0,163.0087933431951,8
1313,#1313,8.257432432432433,42.19958563535912,18.399578440228847,12.399553571428571,50.25082236842105,15.813923395445133,11.0,158.32089584331516,9
3247,#3247,6.159778225806452,6.7474602473498235,53.04253472222222,63.125,9.730095541401274,8.432928512282638,11.0,158.23779724906242,10
4410,#4410,11.594876660341557,22.800373134328357,10.526270456503013,63.125,22.598002958579883,15.813923395445133,11.0,157.45844660519793,11
2511,#2511,57.64622641509435,6.7474602473498235,53.04253472222222,8.455098934550989,9.730095541401274,8.432928512282638,11.0,155.0543443729013,12
3011,#3011,30.5525,15.71630658436214,10.526270456503013,63.125,8.230738146551724,15.813923395445133,11.0,154.964738582862,13
438,#438,57.64622641509435,42.19958563535912,14.414956357631516,10.344506517690876,9.730095541401274,8.432928512282638,11.0,153.7682989794598,14
2894,#2894,30.5525,15.71630658436214,8.94524959742351,63.125,7.525246305418718,15.813923395445133,11.0,152.6782258826495,15
3556,#3556,57.64622641509435,22.800373134328357,24.16172400158165,10.723938223938225,9.730095541401274,15.813923395445133,11.0,151.87628071178898,16
4594,#4594,57.64622641509435,15.71630658436214,14.414956357631516,29.391534391534393,15.215388446215139,8.432928512282638,11.0,151.81734070712017,17
