TOKEN_ID,TOKEN_NAME,TOKEN_ADDRESS,Background,Base Model,Desk,Monitor 1,Monitor 2,Monitor 3,Mouth,Hoodie,Favorite Programming Language,NUM_TRAITS,RARITY_SCORE,Rank
1535,Shadowy Super Coder #1535,10001.0,9894.153823325749,10046.203394937726,9695.618553702987,144329.00577200577,31013.95379844961,34194.872136752136,10036.122917920931,9593.324477268368,9876.567690332773,10001.0,288681.822564696,1
1209,Shadowy Super Coder #1209,10001.0,9894.153823325749,9714.452311577312,10026.062650360866,144329.00577200577,28374.468368794325,28374.468368794325,10036.122917920931,10626.85943476413,9940.36980719539,10001.0,281317.96345473884,2
1349,Shadowy Super Coder #1349,10001.0,9766.624450737232,10577.41127326565,10026.062650360866,144329.00577200577,36043.2436036036,1298.5394482310937,10000.000099980003,10163.60136165024,9801.078000979911,10001.0,262007.56666081434,3
705,Shadowy Super Coder #705,10001.0,10091.817273736251,9714.452311577312,10172.904902359642,144329.00577200577,1303.616826327794,29635.555851851856,9875.592515797787,10496.37957812992,9813.579375981162,10001.0,255434.90440776746,4
6584,Shadowy Super Coder #6584,10001.0,10091.817273736251,9714.452311577312,10026.062650360866,81185.06574675324,51292.30820512821,30309.09121212121,9875.592515797787,9269.694253938833,9801.078000979911,10001.0,241567.16217039363,5
5425,Shadowy Super Coder #5425,10001.0,10091.817273736251,10577.41127326565,10026.062650360866,99920.08091908092,25646.154102564105,32526.829593495935,10066.425221417068,9593.324477268368,10626.85943476413,10001.0,239076.96494595328,6
4763,Shadowy Super Coder #4763,10001.0,10159.4719146775,10577.41127326565,10172.904902359642,86597.40346320346,27216.32680272109,39223.52980392156,9805.882450980393,9269.694253938833,9813.579375981162,10001.0,232838.20424104927,7
6391,Shadowy Super Coder #6391,10001.0,10332.644731404958,9714.452311577312,10172.904902359642,99920.08091908092,26149.019869281045,23814.28595238095,10233.272048291386,10525.097442912765,10031.090261759104,10001.0,230894.84843904802,8
9559,Shadowy Super Coder #9559,10001.0,10080.629006248739,9714.452311577312,9695.618553702987,86597.40346320346,38102.85752380952,26672.000266666666,10036.122917920931,10525.097442912765,9463.525499101146,10001.0,230889.7069851435,9
2244,Shadowy Super Coder #2244,10001.0,10080.629006248739,10577.41127326565,10026.062650360866,86597.40346320346,28991.30463768116,35094.73719298246,10000.000099980003,9889.262507415464,9463.525499101146,10001.0,230722.33633023896,10
1984,Shadowy Super Coder #1984,10001.0,10216.54759959142,9714.452311577312,9695.618553702987,81185.06574675324,29635.555851851856,39223.52980392156,10066.425221417068,10163.60136165024,9813.579375981162,10001.0,229716.37582644683,11
1051,Shadowy Super Coder #1051,10001.0,10091.817273736251,10577.41127326565,10172.904902359642,86597.40346320346,25646.154102564105,35094.73719298246,10000.000099980003,10685.897542735045,9801.078000979911,10001.0,228669.4038518065,12
