TOKEN_ID,TOKEN_NAME,Editions,rarity,spectacular,adjective,animal,category,group,Tags,conference,benefit,RARITY_SCORE,Rank
0,veefriends #0,0,0,0,0,0,0,0,0,0,0,0.0,1
1,veefriends #1,0,0,0,0,0,0,0,0,0,0,0.0,2
10,veefriends #10,0,0,0,0,0,0,0,0,0,0,0.0,3
100,veefriends #100,0,0,0,0,0,0,0,0,0,0,0.0,4
1000,veefriends #1000,0,0,0,0,0,0,0,0,0,0,0.0,5
10000,veefriends #10000,0,0,0,0,0,0,0,0,0,0,0.0,6
10001,veefriends #10001,0,0,0,0,0,0,0,0,0,0,0.0,7
10002,veefriends #10002,0,0,0,0,0,0,0,0,0,0,0.0,8
10003,veefriends #10003,0,0,0,0,0,0,0,0,0,0,0.0,9
10004,veefriends #10004,0,0,0,0,0,0,0,0,0,0,0.0,10
10005,veefriends #10005,0,0,0,0,0,0,0,0,0,0,0.0,11
10006,veefriends #10006,0,0,0,0,0,0,0,0,0,0,0.0,12
10007,veefriends #10007,0,0,0,0,0,0,0,0,0,0,0.0,13
10008,veefriends #10008,0,0,0,0,0,0,0,0,0,0,0.0,14
10009,veefriends #10009,0,0,0,0,0,0,0,0,0,0,0.0,15
1001,veefriends #1001,0,0,0,0,0,0,0,0,0,0,0.0,16
10010,veefriends #10010,0,0,0,0,0,0,0,0,0,0,0.0,17
10011,veefriends #10011,0,0,0,0,0,0,0,0,0,0,0.0,18
10012,veefriends #10012,0,0,0,0,0,0,0,0,0,0,0.0,19
10013,veefriends #10013,0,0,0,0,0,0,0,0,0,0,0.0,20
10014,veefriends #10014,0,0,0,0,0,0,0,0,0,0,0.0,21
10015,veefriends #10015,0,0,0,0,0,0,0,0,0,0,0.0,22
10016,veefriends #10016,0,0,0,0,0,0,0,0,0,0,0.0,23
10017,veefriends #10017,0,0,0,0,0,0,0,0,0,0,0.0,24
10018,veefriends #10018,0,0,0,0,0,0,0,0,0,0,0.0,25
10019,veefriends #10019,0,0,0,0,0,0,0,0,0,0,0.0,26
1002,veefriends #1002,0,0,0,0,0,0,0,0,0,0,0.0,27
10020,veefriends #10020,0,0,0,0,0,0,0,0,0,0,0.0,28
10021,veefriends #10021,0,0,0,0,0,0,0,0,0,0,0.0,29
10022,veefriends #10022,0,0,0,0,0,0,0,0,0,0,0.0,30
