TOKEN_ID,TOKEN_NAME,Color,Meka Type,Helmet,Eyes,Mask,Jaws,Arms,Chest,Colors,Weapon,Material,Status,RARITY_SCORE,Rank
1922,Meka #1922,22.557378984651713,25474.8,2769.0,4392.206896551724,3639.2571428571428,4899.0,5789.727272727273,7492.588235294118,75.19126328217237,2.002830322185009,3.7496025905210475,63687.0,118247.08062260979,1
6273,Meka #6273,22.557378984651713,25474.8,2769.0,4392.206896551724,3639.2571428571428,4899.0,5789.727272727273,7492.588235294118,75.19126328217237,2.002830322185009,3.7496025905210475,63687.0,118247.08062260979,2
6242,Meka #6242,22.557378984651713,25474.8,2769.0,4392.206896551724,3639.2571428571428,4899.0,5789.727272727273,7492.588235294118,75.19126328217237,2.002830322185009,3.7496025905210475,63687.0,118247.08062260979,3
2370,Meka #2370,6368.7,18.327194244604318,97.72941176470589,376.4748768472906,128.44436974789915,172.9058823529412,204.3433155080214,264.44429065743947,16.933528316936986,2.002830322185009,299.7035294117647,23.008309248554916,7973.017538422344,4
7796,Meka #7796,6368.7,18.327194244604318,97.72941176470589,263.53241379310344,128.44436974789915,172.9058823529412,204.3433155080214,264.44429065743947,77.19636363636363,2.002830322185009,299.7035294117647,23.008309248554916,7920.337910687584,5
8075,Meka #8075,6368.7,18.327194244604318,97.72941176470589,263.53241379310344,128.44436974789915,172.9058823529412,204.3433155080214,264.44429065743947,24.618090452261306,2.002830322185009,299.7035294117647,23.008309248554916,7867.759637503482,6
1784,Meka #1784,22.557378984651713,42.6,207.675,366.01724137931035,94.93714285714285,341.79069767441865,190.87012987012986,247.00840336134453,75.19126328217237,1013.5862068965516,3639.257142857143,23.008309248554916,6264.4989164114195,7
2423,Meka #2423,22.557378984651713,77.50953346855984,159.75,140.17681584739546,143.6548872180451,145.5148514851485,598.937304075235,212.05438401775805,75.19126328217237,549.0258620689655,3639.257142857143,23.008309248554916,5786.63773255363,8
4370,Meka #4370,22.557378984651713,56.44342688330872,188.79545454545453,387.54766734279923,131.53941480206538,74.6040609137056,81.54545454545455,31.83819363439427,75.19126328217237,549.0258620689655,3639.257142857143,23.008309248554916,5261.353629108669,9
3139,Meka #3139,22.557378984651713,18.327194244604318,202.60975609756096,18.050165328294757,52.74285714285714,24.742424242424246,145.9595110771581,51.67302231237323,75.19126328217237,878.4413793103447,3639.257142857143,23.008309248554916,5152.560404128139,10
7823,Meka #7823,22.557378984651713,56.44342688330872,296.67857142857144,231.16878402903808,88.7623693379791,74.6040609137056,140.07404692082113,153.95729250604353,75.19126328217237,199.64576802507835,3639.257142857143,23.008309248554916,5001.348414417068,11
