TOKEN_ID,TOKEN_NAME,Mouth,Armor,Nose,Helmet,Weapon,Eyes,Background,Character,Galactic Clout,Facial Hair,Round Table
1,Knights of Degen #1,Smile,Hawaiian Shirt,Normal,Headphones Off - Other,Ready to Rumble,Brown,Green,Human,,,
2,Knights of Degen #2,Joint,Knights Armor - Silver,Normal,Spartan Helmet - Silver,Diamond Hands,Blue,Yellow,Human,Legendary,,
3,Knights of Degen #3,Smile,Knights Armor - Other,Nose Ring,Spartan Helmet - Other,None,Blue,Purple,Human,,,
4,Knights of Degen #4,Bubblegum,Leather Jacket,Normal,Cloak - Other,None,Wink,Purple,Human,,,
5,Knights of Degen #5,Vape,Chainmail - Other,Normal,Sweatband - Bald,None,3D Glasses,Purple,Human,,,
6,Knights of Degen #6,Pizza,Knights Armor - Other,None,Knights Helmet - Silver,Mightier Than,Normal,Green,Robot,,,
7,Knights of Degen #7,Deadass,Chainmail - Other,Normal,Knights Helmet - Silver,None,Tired AF,Red,Human,,Mustache - Other,
8,Knights of Degen #8,Smile,Knights Armor - Silver,Normal,Baseball Cap - Other,Phone,Eyeblack,Purple,Robot,,Scruff,
9,Knights of Degen #9,Grin,Knights Armor - Silver,Normal,Cloak - Other,Sword - Silver,Eyeblack,Green,Human,,,
10,Knights of Degen #10,Smile,Suit - Business,Nose Ring,Knights Helmet - Silver,Boxing Gloves,Green,Green,Human,,,
11,Knights of Degen #11,Smile,Chainmail - Silver,Normal,Spartan Helmet - Other,None,Normal,Green,Alien,,,
12,Knights of Degen #12,Smile,Kings Guard Armor - Silver,Nose Ring,Cloak - Other,Soccer Ball,Brown,Green,Human,,,
13,Knights of Degen #13,Smile,Leather Jacket,Normal,Guardian Helmet - Other,Beer,Blue,Blue,Human,,,
14,Knights of Degen #14,Smile,Kings Armor - Silver,Nose Ring,Knights Helmet - Other,Sword - Silver,Bloodshot,Red,Human,,,
15,Knights of Degen #15,Deadass,Kings Armor - Silver,Normal,Crown - Other,Space Dog,Normal,Yellow,Robot,,,
16,Knights of Degen #16,Tongue Out,Queens Guard - Other,Normal,Headphones Off - Silver,None,Tired AF,Green,Human,,,
17,Knights of Degen #17,Deadass,Chainmail - Other,Normal,Baseball Cap - Other,None,Bloodshot,Green,Human,,,
18,Knights of Degen #18,Smile,Knights Armor - Other,Nose Ring,Knights Helmet - Other,None,Laser Eyes - Other,Blue,Human,,,
19,Knights of Degen #19,Tongue Out,Chainmail - Other,Normal,Valkyrie Helmet - Other,Ready to Rumble,Blue,Pink,Human,,,
20,Knights of Degen #20,Smile,Queens Armor - Other,Normal,Cowboy Hat - Other,None,Wink,Purple,Human,,,
21,Knights of Degen #21,Bubblegum,Chainmail - Silver,Normal,Space Helmet - Gold,None,Eyeblack,Red,Robot,,Mustache - Other,
22,Knights of Degen #22,Joint,Chainmail - Silver,Normal,Cloak - Other,None,Brown,Pink,Human,,,
23,Knights of Degen #23,Deadass,Chainmail - Other,Normal,Knights Helmet - Silver,None,Brown,Yellow,Human,,,
24,Knights of Degen #24,Deadass,Knights Armor - Other,Normal,Crown - Other,None,Normal,Green,Robot,,Sweet Stache - Other,
25,Knights of Degen #25,Pizza,Chainmail - Other,Normal,Spartan Helmet - Silver,Basketball,Bloodshot,Teal,Human,,,
26,Knights of Degen #26,Bubblegum,Chainmail - Silver,Normal,Cloak - Other,Sword - Platinum,Normal,Yellow,Robot,,,
27,Knights of Degen #27,Grin,Suit - Business,Normal,Knights Helmet - Silver,Soccer Ball,Eyeblack,Teal,Human,,Sweet Stache - Other,
28,Knights of Degen #28,Joint,Basketball Jersey,Normal,Valkyrie Helmet - Silver,None,Green,Green,Human,,,
29,Knights of Degen #29,Smile,Torn Tee,Nose Ring,Headphones On - Other,Sword - Platinum,Normal,Green,Robot,,Beard - Other,
30,Knights of Degen #30,Grin,Kings Guard Armor - Other,Normal,Spartan Helmet - Silver,Potion,Glasses,Teal,Human,Legendary,Sweet Stache - Other,
31,Knights of Degen #31,Pizza,Chainmail - Other,Normal,Guardian Helmet - Silver,Phone,Eyeblack,Purple,Human,,,
32,Knights of Degen #32,Deadass,Knights Armor - Other,Normal,Space Helmet - Silver,Liquid Courage,Glasses,Blue,Human,,Mustache - Other,
