TOKEN_ID,TOKEN_NAME,Background,Weapon,Power,Speed,Accuracy,NUM_TRAITS,RARITY_SCORE,Rank
4885,Great Banana Weapon 4885,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,1
1624,Great Banana Weapon 1624,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,2
6940,Great Banana Weapon 6940,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,3
6886,Great Banana Weapon 6886,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,4
9933,Great Banana Weapon 9933,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,5
3328,Great Banana Weapon 3328,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,6
9091,Great Banana Weapon 9091,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,7
6688,Great Banana Weapon 6688,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,8
1280,Great Banana Weapon 1280,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,9
8185,Great Banana Weapon 8185,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,10
6623,Great Banana Weapon 6623,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,11
3497,Great Banana Weapon 3497,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,12
6580,Great Banana Weapon 6580,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,13
3629,Great Banana Weapon 3629,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,14
8233,Great Banana Weapon 8233,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,15
3662,Great Banana Weapon 3662,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,16
6391,Great Banana Weapon 6391,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,17
1198,Great Banana Weapon 1198,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,18
1170,Great Banana Weapon 1170,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,19
6285,Great Banana Weapon 6285,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,20
6255,Great Banana Weapon 6255,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,21
2930,Great Banana Weapon 2930,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,22
1406,Great Banana Weapon 1406,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,23
8101,Great Banana Weapon 8101,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,24
9955,Great Banana Weapon 9955,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,25
9405,Great Banana Weapon 9405,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,26
100,Great Banana Weapon 100,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,27
105,Great Banana Weapon 105,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,28
7468,Great Banana Weapon 7468,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,29
2334,Great Banana Weapon 2334,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,30
9969,Great Banana Weapon 9969,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,31
7349,Great Banana Weapon 7349,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,32
2520,Great Banana Weapon 2520,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,33
9954,Great Banana Weapon 9954,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,34
7058,Great Banana Weapon 7058,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,35
1486,Great Banana Weapon 1486,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,36
8019,Great Banana Weapon 8019,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,37
7278,Great Banana Weapon 7278,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,38
187,Great Banana Weapon 187,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,39
9276,Great Banana Weapon 9276,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,40
7213,Great Banana Weapon 7213,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,41
7166,Great Banana Weapon 7166,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,42
7103,Great Banana Weapon 7103,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,43
3953,Great Banana Weapon 3953,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,44
3954,Great Banana Weapon 3954,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,45
8927,Great Banana Weapon 8927,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,46
869,Great Banana Weapon 869,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,47
642,Great Banana Weapon 642,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,48
5490,Great Banana Weapon 5490,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,49
5476,Great Banana Weapon 5476,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,50
5472,Great Banana Weapon 5472,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,51
8503,Great Banana Weapon 8503,40,100,21.05263158,36.36363636,166.6666667,20,384.0829346,52
